CASE015,211,1,0.3553054662379421,0.2936475895977265,1.0,0.7101000317571097,10,-1,-1,4,0,0
CASE015,211,2,0.0,0.0,0.37138263665594856,0.11568123393316196,13,-1,-1,1,0,0
CASE015,301,3,0.0,0.0,0.4405144694533762,0.4370179948586118,11,15,-1,1,1,1
CASE015,301,4,0.4498341551164339,0.3614479202231282,1.0,0.7496227274210716,9,-1,-1,4,1,1
CASE015,301,5,0.7698703778135048,0.3364074236323104,1.0,0.5060732334009479,6,9,-1,7,1,1
CASE015,71,6,0.0,0.0,0.6864951768488746,0.6529562982005142,15,-1,-1,1,0,0
CASE015,71,7,0.18626909163987138,0.0,0.9418961012861736,0.506426735218509,13,-1,-1,2,0,0
CASE015,176,8,0.0,0.874352658622369,0.4839228295819935,1.0,6,9,-1,1,18,1
CASE015,176,9,0.3022508038585209,0.5596735152609856,1.0,0.8835809702738391,1,4,10,4,18,1
CASE015,176,10,0.27147809485530544,0.0,0.6219604099678456,0.3110539845758355,13,-1,-1,2,18,1
CASE015,351,11,0.0,0.292087976607688,0.5289389067524115,0.6854041719804386,6,9,-1,1,1,1
CASE015,351,12,0.4935691318327974,0.0,1.0,0.38817480719794345,15,-1,-1,4,1,1
CASE015,351,13,0.777908963022508,0.44951796347806877,1.0,0.6705976549947783,6,9,-1,7,1,1
CASE015,246,14,0.3922829581993569,0.44407948001184927,1.0,0.7808404054617207,7,15,-1,4,1,1
CASE015,246,15,0.0,0.0,0.33118971061093244,0.16966580976863754,6,9,-1,1,1,1
CASE015,151,16,0.0,0.7387184143066406,0.587282943725586,1.0,6,9,-1,1,18,1
CASE015,151,17,0.508758544921875,0.5235369763214974,1.0,0.7728943027996464,15,-1,-1,4,18,1
CASE015,151,18,0.6655476560929963,0.7435378047678342,0.8552582670254723,1.0,6,10,-1,5,18,1
CASE015,451,19,0.0,0.028244881519621626,0.6270096463022508,0.5115353699514982,6,9,-1,1,1,1
CASE015,451,20,0.5003506087030245,0.43402899813223006,1.0,0.7887847821939268,7,15,-1,4,1,1
